 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 06/05 | 16:24 |oreman_part_qcif.yuv|    2 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |37.443|41.168|43.008|36.736|41.052|42.732| 292080|  25280|           3068   |            974   |
| 06/05 | 16:25 |_cif\foreman_cif.yuv|    2 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |36.190|35.798|35.903|35.057|34.697|35.283| 769360| 310800|           3828   |           1052   |
| 06/05 | 16:26 |_cif\foreman_cif.yuv|    2 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |36.190|35.798|35.903|35.057|34.697|35.283| 769360| 310800|           3617   |            992   |
| 06/05 | 16:29 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           2172   |            578   |
| 06/05 | 16:29 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           2142   |            580   |
| 06/05 | 16:54 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           2110   |            576   |
| 06/05 | 17:05 |_cif\foreman_cif.yuv|  100 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |36.190|35.798|35.903|36.624|34.916|35.156| 353320| 270511|         589239   |         279751   |
| 06/05 | 19:20 |_cif\foreman_cif.yuv|  100 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |36.190|35.798|35.903|36.618|34.914|35.156| 352986| 271105|         431677   |         152622   |
| 06/05 | 22:53 |_cif\foreman_cif.yuv|   20 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |36.190|35.798|35.903|36.680|34.712|35.148| 346203| 270708|          72559   |          25434   |
| 06/05 | 23:14 |_cif\foreman_cif.yuv|   20 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |36.190|35.798|35.903|36.692|34.720|35.137| 346345| 270751|         100127   |          46910   |
| 06/05 | 23:27 |Рап\foreman_qcif.yuv|   20 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |37.404|41.252|43.086|36.790|41.163|42.871| 170031|  13114|          46490   |           7785   |
| 06/05 | 23:31 |Рап\foreman_qcif.yuv|   20 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |37.404|41.252|43.086|36.790|41.163|42.871| 170031|  13114|          46355   |           7764   |
| 06/05 | 23:33 |Рап\foreman_qcif.yuv|   20 |  28  |  28  | 30 | 176x144 |  1 |   ON   |    16   |  5  |  30  |   OFF   |37.404|41.252|43.086|36.796|41.185|42.851| 171218|  13188|          91175   |          44926   |
| 06/05 | 23:44 |пРап\highway_cif.yuv|   10 |  28  |  28  | 30 | 352x288 |  1 |   ON   |    16   |  5  |  30  |   OFF   |39.586|38.895|39.959|38.763|38.682|39.635| 273448|  26425|          71582   |           7532   |
| 06/05 | 23:47 |uvпРап\akiyo_cif.yuv|   10 |  28  |  28  | 30 | 352x288 |  1 |   ON   |    16   |  5  |  30  |   OFF   |40.514|42.670|44.025|40.519|42.626|44.093| 291006|   3082|          66380   |           3850   |
| 06/05 | 23:50 |п\coastguard_cif.yuv|   10 |  28  |  28  | 30 | 352x288 |  1 |   ON   |    16   |  5  |  30  |   OFF   |35.614|44.630|46.110|34.480|44.555|45.813|1170531|  29533|          97555   |          20056   |
| 06/05 | 23:52 |пРап\foreman_cif.yuv|   10 |  28  |  28  | 30 | 352x288 |  1 |   ON   |    16   |  5  |  30  |   OFF   |37.954|41.201|44.280|37.158|41.120|44.103| 558038|  52876|          84596   |          14086   |
| 06/16 | 09:47 |пРап\foreman_cif.yuv|   10 |  28  |  28  | 30 | 352x288 |  1 |   ON   |    16   |  5  |  30  |   OFF   |37.954|41.201|44.280|37.158|41.120|44.103| 558038|  52876|          83513   |          13935   |
